x,y,numero,plateforme,dispositifs,blocs,parcellesunitaire,uri,couleur,datedisparition,mort
1,1,1,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.0/@individus.0,,,
1,2,2,0.0,0.0,0.0,1.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.1/@individus.0,"Color {255, 0, 0}",2015-07-15T09:36:10.890+0200,true
1,3,3,0.0,0.0,0.0,2.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.2/@individus.0,"Color {255, 0, 0}",2015-07-15T09:36:13.449+0200,true
1,4,4,0.0,0.0,0.0,3.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.3/@individus.0,,,
1,5,5,0.0,0.0,0.0,4.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.4/@individus.0,,,
1,6,6,0.0,0.0,0.0,5.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.5/@individus.0,,,
1,7,7,0.0,0.0,0.0,6.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.6/@individus.0,,,
1,8,8,0.0,0.0,0.0,7.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.7/@individus.0,"Color {255, 0, 0}",,
1,9,9,0.0,0.0,0.0,8.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.8/@individus.0,"Color {255, 0, 0}",,
1,10,10,0.0,0.0,0.0,9.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.9/@individus.0,,,
1,11,11,0.0,0.0,0.0,10.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.10/@individus.0,"Color {255, 0, 0}",,
1,12,12,0.0,0.0,0.0,11.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.11/@individus.0,,,
1,13,13,0.0,0.0,0.0,12.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.12/@individus.0,,,
1,14,14,0.0,0.0,0.0,13.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.13/@individus.0,,,
1,15,15,0.0,0.0,0.0,14.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.14/@individus.0,,,
1,16,16,0.0,0.0,0.0,15.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.15/@individus.0,,,
1,17,17,0.0,0.0,0.0,16.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.16/@individus.0,,,
1,18,18,0.0,0.0,0.0,17.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.17/@individus.0,,,
1,19,19,0.0,0.0,0.0,18.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.18/@individus.0,"Color {255, 0, 0}",,
1,20,20,0.0,0.0,0.0,19.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.19/@individus.0,"Color {255, 0, 0}",,
1,21,21,0.0,0.0,0.0,20.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.20/@individus.0,,,
1,22,22,0.0,0.0,0.0,21.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.21/@individus.0,,,
1,23,23,0.0,0.0,0.0,22.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.22/@individus.0,,,
1,24,24,0.0,0.0,0.0,23.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.23/@individus.0,,,
1,25,25,0.0,0.0,0.0,24.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.24/@individus.0,,,
1,26,26,0.0,0.0,0.0,25.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.25/@individus.0,"Color {255, 0, 0}",,
1,27,27,0.0,0.0,0.0,26.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.26/@individus.0,,,
2,27,28,0.0,0.0,0.0,27.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.27/@individus.0,,,
2,26,29,0.0,0.0,0.0,28.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.28/@individus.0,,,
2,25,30,0.0,0.0,0.0,29.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.29/@individus.0,,,
2,24,31,0.0,0.0,0.0,30.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.30/@individus.0,"Color {255, 0, 0}",,
2,23,32,0.0,0.0,0.0,31.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.31/@individus.0,"Color {0, 255, 0}",,
2,22,33,0.0,0.0,0.0,32.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.32/@individus.0,,,
2,21,34,0.0,0.0,0.0,33.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.33/@individus.0,,,
2,20,35,0.0,0.0,0.0,34.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.34/@individus.0,,,
2,19,36,0.0,0.0,0.0,35.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.35/@individus.0,"Color {255, 0, 0}",,
2,18,37,0.0,0.0,0.0,36.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.36/@individus.0,,,
2,17,38,0.0,0.0,0.0,37.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.37/@individus.0,,,
2,16,39,0.0,0.0,0.0,38.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.38/@individus.0,,,
2,15,40,0.0,0.0,0.0,39.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.39/@individus.0,,,
2,14,41,0.0,0.0,0.0,40.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.40/@individus.0,,,
2,13,42,0.0,0.0,0.0,41.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.41/@individus.0,,,
2,12,43,0.0,0.0,0.0,42.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.42/@individus.0,,,
2,11,44,0.0,0.0,0.0,43.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.43/@individus.0,,,
2,10,45,0.0,0.0,0.0,44.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.44/@individus.0,,,
2,9,46,0.0,0.0,0.0,45.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.45/@individus.0,"Color {0, 255, 0}",,
2,8,47,0.0,0.0,0.0,46.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.46/@individus.0,,,
2,7,48,0.0,0.0,0.0,47.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.47/@individus.0,,,
2,6,49,0.0,0.0,0.0,48.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.48/@individus.0,"Color {255, 0, 0}",,
2,5,50,0.0,0.0,0.0,49.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.49/@individus.0,,,
2,4,51,0.0,0.0,0.0,50.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.50/@individus.0,,,
2,3,52,0.0,0.0,0.0,51.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.51/@individus.0,"Color {0, 255, 0}",,
2,2,53,0.0,0.0,0.0,52.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.52/@individus.0,,,
2,1,54,0.0,0.0,0.0,53.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.53/@individus.0,"Color {0, 255, 0}",,
3,1,55,0.0,0.0,0.0,54.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.54/@individus.0,,,
3,2,56,0.0,0.0,0.0,55.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.55/@individus.0,,,
3,3,57,0.0,0.0,0.0,56.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.56/@individus.0,"Color {0, 255, 0}",,
3,4,58,0.0,0.0,0.0,57.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.57/@individus.0,,,
3,5,59,0.0,0.0,0.0,58.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.58/@individus.0,"Color {255, 0, 0}",,
3,6,60,0.0,0.0,0.0,59.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.59/@individus.0,,,
3,7,61,0.0,0.0,0.0,60.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.60/@individus.0,"Color {0, 255, 0}",,
3,8,62,0.0,0.0,0.0,61.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.61/@individus.0,,,
3,9,63,0.0,0.0,0.0,62.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.62/@individus.0,,,
3,10,64,0.0,0.0,0.0,63.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.63/@individus.0,"Color {255, 0, 0}",,
3,11,65,0.0,0.0,0.0,64.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.64/@individus.0,,,
3,12,66,0.0,0.0,0.0,65.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.65/@individus.0,"Color {255, 0, 0}",,
3,13,67,0.0,0.0,0.0,66.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.66/@individus.0,,,
3,14,68,0.0,0.0,0.0,67.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.67/@individus.0,,,
3,15,69,0.0,0.0,0.0,68.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.68/@individus.0,,,
3,16,70,0.0,0.0,0.0,69.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.69/@individus.0,,,
3,17,71,0.0,0.0,0.0,70.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.70/@individus.0,,,
3,18,72,0.0,0.0,0.0,71.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.71/@individus.0,"Color {255, 0, 0}",,
3,19,73,0.0,0.0,0.0,72.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.72/@individus.0,,,
3,20,74,0.0,0.0,0.0,73.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.73/@individus.0,,,
3,21,75,0.0,0.0,0.0,74.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.74/@individus.0,,,
3,22,76,0.0,0.0,0.0,75.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.75/@individus.0,,,
3,23,77,0.0,0.0,0.0,76.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.76/@individus.0,"Color {255, 0, 0}",,
3,24,78,0.0,0.0,0.0,77.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.77/@individus.0,,,
3,25,79,0.0,0.0,0.0,78.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.78/@individus.0,,,
3,26,80,0.0,0.0,0.0,79.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.79/@individus.0,"Color {255, 0, 0}",,
3,27,81,0.0,0.0,0.0,80.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.80/@individus.0,,,
4,27,82,0.0,0.0,0.0,81.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.81/@individus.0,,,
4,26,83,0.0,0.0,0.0,82.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.82/@individus.0,,,
4,25,84,0.0,0.0,0.0,83.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.83/@individus.0,"Color {0, 255, 0}",,
4,24,85,0.0,0.0,0.0,84.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.84/@individus.0,"Color {255, 0, 0}",,
4,23,86,0.0,0.0,0.0,85.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.85/@individus.0,,,
4,22,87,0.0,0.0,0.0,86.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.86/@individus.0,"Color {255, 0, 0}",,
4,21,88,0.0,0.0,0.0,87.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.87/@individus.0,"Color {255, 0, 0}",,
4,20,89,0.0,0.0,0.0,88.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.88/@individus.0,,,
