type,variable,objetmetier,valeur,saisie,sessions,uri
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.0/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.0
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.0/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.1
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.1/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.2
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.1/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.3
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.2/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.4
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.2/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.5
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.3/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.6
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.3/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.7
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.4/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.8
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.4/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.9
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.5/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.10
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.5/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.11
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.6/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.12
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.6/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.13
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.7/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.14
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.7/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.15
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.8/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.16
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.8/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.17
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.9/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.18
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.9/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.19
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.10/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.20
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.10/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.21
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.11/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.22
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.11/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.23
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.12/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.24
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.12/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.25
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.13/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.26
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.13/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.27
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.14/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.28
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.14/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.29
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.15/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.30
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.15/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.31
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.16/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.32
