type,numero,traitement,nbindividus,plateforme,dispositifs,blocs,uri
adonis.modeleMetier.plateforme:PuIndividuel,1,['test:/0/@dispositifs.0/@protocoles.0/@traitements.0'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.0
adonis.modeleMetier.plateforme:PuIndividuel,2,['test:/0/@dispositifs.0/@protocoles.0/@traitements.1'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.1
adonis.modeleMetier.plateforme:PuIndividuel,3,['test:/0/@dispositifs.0/@protocoles.0/@traitements.1'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.2
adonis.modeleMetier.plateforme:PuIndividuel,4,['test:/0/@dispositifs.0/@protocoles.0/@traitements.2'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.3
adonis.modeleMetier.plateforme:PuIndividuel,5,['test:/0/@dispositifs.0/@protocoles.0/@traitements.3'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.4
adonis.modeleMetier.plateforme:PuIndividuel,6,['test:/0/@dispositifs.0/@protocoles.0/@traitements.4'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.5
adonis.modeleMetier.plateforme:PuIndividuel,7,['test:/0/@dispositifs.0/@protocoles.0/@traitements.5'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.6
adonis.modeleMetier.plateforme:PuIndividuel,8,['test:/0/@dispositifs.0/@protocoles.0/@traitements.1'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.7
adonis.modeleMetier.plateforme:PuIndividuel,9,['test:/0/@dispositifs.0/@protocoles.0/@traitements.1'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.8
adonis.modeleMetier.plateforme:PuIndividuel,10,['test:/0/@dispositifs.0/@protocoles.0/@traitements.6'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.9
adonis.modeleMetier.plateforme:PuIndividuel,11,['test:/0/@dispositifs.0/@protocoles.0/@traitements.1'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.10
adonis.modeleMetier.plateforme:PuIndividuel,12,['test:/0/@dispositifs.0/@protocoles.0/@traitements.7'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.11
adonis.modeleMetier.plateforme:PuIndividuel,13,['test:/0/@dispositifs.0/@protocoles.0/@traitements.8'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.12
adonis.modeleMetier.plateforme:PuIndividuel,14,['test:/0/@dispositifs.0/@protocoles.0/@traitements.9'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.13
adonis.modeleMetier.plateforme:PuIndividuel,15,['test:/0/@dispositifs.0/@protocoles.0/@traitements.10'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.14
adonis.modeleMetier.plateforme:PuIndividuel,16,['test:/0/@dispositifs.0/@protocoles.0/@traitements.11'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.15
adonis.modeleMetier.plateforme:PuIndividuel,17,['test:/0/@dispositifs.0/@protocoles.0/@traitements.12'],1,0.0,0.0,0.0,test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.16
