combinaisons,nom,nomcourt,nbrepetitions,plateforme,dispositifs,protocoles,uri
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.0'],16_1,1,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.0
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.1'],1000,2,232,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.1
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.2'],36_1,3,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.2
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.3'],27_1,4,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.3
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.4'],13_1,5,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.4
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.5'],32_1,6,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.5
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.6'],1_2,7,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.6
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.7'],36_2,8,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.7
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.8'],13_2,9,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.8
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.9'],18_2,10,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.9
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.10'],14_3,11,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.10
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.11'],8_1,12,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.11
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.12'],13_3,13,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.12
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.13'],26_1,14,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.13
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.14'],27_2,15,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.14
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.15'],30_3,16,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.15
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.16'],14_8,17,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.16
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.17'],16_2,18,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.17
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.18'],13_4,19,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.18
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.19'],16_45,20,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.19
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.20'],30_22,21,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.20
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.21'],13_6,22,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.21
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.22'],32_4,23,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.22
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.23'],26_2,24,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.23
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.24'],5_3,25,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.24
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.25'],6_2,26,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.25
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.26'],25_3,27,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.26
