Tri;Trial_id;X;Y;Plot;Alias;Experiment;Species;Variety;ExperimentModalities;Replication;GenotypeNumber;Internal_Id;Project;Alias_PF;CodeB;GrainSample;Hte;nbk;Poids;Date;PMG;PMG15
79;MA20_PM;3;8;10;EPPN_Plot_0010;2020_PhenoMaize;Maize;DKC4590;WW;0;0;1;EPPN;73;MA20_PM_10_DKC4590_1;1;21;500;163,34;2020-10-14;326,68;303,6202353
77;MA20_PM;3;10;26;EPPN_Plot_0026;2020_PhenoMaize;Maize;EPPN4_H;WW;1;4;2;EPPN;93;MA20_PM_26_EPPN4_H_2;2;17,8;500;142,7;2020-10-14;285,4;275,9985882
75;MA20_PM;3;12;42;EPPN_Plot_0042;2020_PhenoMaize;Maize;EPPN9_H;WW;1;9;3;EPPN;113;MA20_PM_42_EPPN9_H_3;3;20,9;500;153,28;2020-10-14;306,56;285,2811294
73;MA20_PM;3;14;58;EPPN_Plot_0058;2020_PhenoMaize;Maize;EPPN2_H;WW;1;2;4;EPPN;133;MA20_PM_58_EPPN2_H_4;4;19,7;500;136,86;2020-10-14;273,72;258,5848941
71;MA20_PM;3;16;74;EPPN_Plot_0074;2020_PhenoMaize;Maize;DKC4590;WW;1;13;5;EPPN;153;MA20_PM_74_DKC4590_5;5;19,6;500;176,2;2020-10-14;352,4;333,3289412
69;MA20_PM;3;18;90;EPPN_Plot_0090;2020_PhenoMaize;Maize;EPPN15_H;WW;1;1;6;EPPN;173;MA20_PM_90_EPPN15_H_6;6;20;500;152,35;2020-10-14;304,7;286,7764706
67;MA20_PM;3;20;106;EPPN_Plot_0106;2020_PhenoMaize;Maize;EPPN11_H;WW;1;11;7;EPPN;193;MA20_PM_106_EPPN11_H_7;7;22;500;150,17;2020-10-14;300,34;275,6061176
65;MA20_PM;3;22;122;EPPN_Plot_0122;2020_PhenoMaize;Maize;EPPN10_H;WW;1;10;8;EPPN;213;MA20_PM_122_EPPN10_H_8;8;21,6;500;145,93;2020-10-14;291,86;269,1979294
63;MA20_PM;3;24;138;EPPN_Plot_0138;2020_PhenoMaize;Maize;DKC4590;WW;0;0;9;EPPN;233;MA20_PM_138_DKC4590_9;9;21,4;500;165,12;2020-10-14;330,24;305,3748706
103;MA20_PM;4;24;139;EPPN_Plot_0139;2020_PhenoMaize;Maize;DKC4590;WW;0;0;10;EPPN;234;MA20_PM_139_DKC4590_10;10;20,7;500;175,59;2020-10-14;351,18;327,6302824
